interval,quantity,weighted_price,price_change_int,period,group,block,format,price_change,ce_price,ce_quantity,cum_volume,%cumsum,price_deviation,block_1,block_2,block_3,block_4,block_5,group_id,format_num,price_deviation_log,price_change_log,log_wprice,change_log_wprice,ppi
4,205.75,12.051827177807171,-0.4245860207126058,14,Flow609,4,Flow60,-3.6540551751340047,6,1200,237.51,0.197925,6.051827177807171,False,False,False,True,False,9,2,1.8003602393067357,1.2958375577690167,2.489216281454584,-0.2648190328894495,0.19310344827586245
5,385.5,10.678977123863058,0.017324866788710695,14,Flow609,4,Flow60,-1.3728500539441129,6,1200,623.01,0.5191749999999999,4.678977123863058,False,False,False,True,False,9,2,1.543079522763997,0.31688891029324306,2.368277054026149,-0.1209392274284351,0.13082274652147596
6,325.86,12.795485801166768,0.5293350249770576,14,Flow609,4,Flow60,2.1165086773037096,6,1200,948.87,0.790725,6.795485801166768,False,False,False,True,False,9,2,1.9162585389646496,0.7497678808068224,2.5490924369384063,0.1808153829122574,1.0313405797101454
7,151.57,12.153333101323868,-0.2657855730377818,14,Flow609,4,Flow60,-0.6421526998428995,6,1200,1100.44,0.9170333333333334,6.153333101323868,False,False,False,True,False,9,2,1.8169939027019155,-0.44292915335147076,2.4976034614922153,-0.05148897544619091,0.325814536340852
8,178.70000000000002,10.379825122627425,0.0,14,Flow609,4,Flow60,-1.7735079786964434,6,1200,1279.14,1.0659500000000002,4.379825122627425,False,False,False,True,False,9,2,1.4770087972505066,0.5729594940635079,2.339864030064745,-0.1577394314274705,0.325814536340852
9,189.49000000000004,10.594608212327573,0.02941467333467937,14,Flow609,4,Flow60,0.21478308970014837,6,1200,1468.63,1.2238583333333335,4.594608212327573,False,False,False,True,False,9,2,1.5248834882611757,-1.5381266452372082,2.3603452124926574,0.020481182427912525,0.19261440314071887
10,174.10999999999999,10.692831443232503,-0.008597494798132644,14,Flow609,4,Flow60,0.09822323090492979,6,1200,1642.74,1.3689500000000001,4.692831443232503,False,False,False,True,False,9,2,1.5460361195323817,-2.320512524339361,2.3695735583689257,0.009228345876268307,0.18575763858782723
11,178.00000000000003,10.355115288252698,-0.08398947318432709,14,Flow609,4,Flow60,-0.33771615497980534,6,1200,1820.74,1.5172833333333333,4.355115288252698,False,False,False,True,False,9,2,1.4713510825723728,-1.0855495144765948,2.3374806283686405,-0.032092930000285236,0.292395104895105
12,168.51999999999998,9.472222222222223,0.0,14,Flow609,4,Flow60,-0.8828930660304746,6,1200,1989.26,1.6577166666666667,3.472222222222223,False,False,False,True,False,9,2,1.2447947988461914,-0.12455118873498534,2.248363538827407,-0.08911708954123343,0.3374999999999999
13,36.87999999999995,6.537369355156773,0.027040412879536322,14,Flow609,4,Flow60,-2.93485286706545,6,1200,2026.1399999999999,1.6884499999999998,0.5373693551567733,False,False,False,True,False,9,2,-0.6210696086976756,1.076657321551748,1.8775348452765264,-0.37082869355088066,0.18242424242424238
